40	44	54	-25	31	9	-21	-12	-10	-5	-11	1
-5	-9	-8	1	3	2	1	2	-4	-6	3	1
-6	14	-13	-6	-4	1	5	-8	2	1	-4	1
-24	0	-4	5	-5	4	9	1	-2	0	8	1
-32	0	-13	-13	-2	-7	-1	3	0	-5	-1	1
-35	-3	-10	-15	-4	6	-3	-1	4	-1	-4	1
-43	9	3	-19	5	10	-8	3	10	-3	-8	1
-25	1	15	-2	-6	-10	-12	14	2	2	-3	0
-34	-17	-4	-2	17	10	-4	-3	-5	0	6	1
-26	16	13	4	-11	-1	4	-4	0	-8	-15	1
45	-18	1	-13	-3	-9	-9	-2	3	11	-4	0
-10	8	11	-5	8	11	1	-2	-2	-4	-5	1
56	-5	18	-3	-9	4	-11	2	-6	5	-3	0
-26	14	0	6	-4	-18	0	4	6	0	-6	1
-27	5	4	-4	9	-5	-4	-5	4	-2	-4	1
-27	3	16	20	-3	24	1	-1	-1	-4	0	1
-39	-4	-13	-5	7	3	-9	-4	-4	2	0	1
-44	18	-2	0	-2	15	-6	-4	1	4	4	1
-53	-12	-3	-18	9	6	-6	-2	4	2	1	1
-46	-9	-1	-16	4	-1	-8	-1	0	4	-1	1
-28	4	-3	10	-9	13	3	4	-2	1	1	1
-42	-17	2	-10	0	6	1	0	-2	1	4	1
-19	6	-6	-19	10	0	-1	-4	0	0	1	1
-35	6	-21	-19	1	17	-1	-1	-1	0	2	1
-19	59	22	17	-46	9	-3	-23	11	3	7	1
-51	-9	-2	-8	7	-8	-2	-3	5	0	-7	1
-48	-3	-3	-16	2	8	1	-1	-2	1	1	1
7	-25	-11	-8	1	-4	3	0	-2	-1	0	0
41	50	14	-3	10	11	-4	11	-2	-3	-2	1
-42	4	29	-7	-4	9	-6	1	14	-2	1	1
4	33	4	-6	1	-8	-4	-3	3	-3	-3	1
-5	-32	8	-15	-5	16	4	-2	-6	0	1	0
-13	5	-16	-8	0	-18	-3	7	7	0	-3	1
62	-18	-23	8	-24	24	2	2	-4	1	2	0
-30	-1	-12	-5	5	-1	-3	-2	-1	2	3	1
-26	2	-8	-3	-9	-3	3	1	2	0	-4	1
-35	-4	-3	-15	0	-12	-3	-1	8	1	2	1
-47	-5	0	-2	9	-1	-7	-3	0	0	-3	1
19	-11	-7	5	-10	-9	3	8	-1	0	-2	0
21	11	16	-4	-15	0	1	-7	7	3	-10	0
16	-10	-14	-12	9	-1	5	0	6	-4	7	0
1	9	-11	-2	7	13	3	-8	2	0	-8	1
-24	21	9	14	-34	7	7	-9	8	0	0	1
-41	3	-9	-1	-2	6	-5	-1	-3	3	4	1
-36	1	6	10	-1	-3	1	-2	3	1	2	1
20	-17	16	4	-10	-12	-2	12	6	8	-3	0
-17	15	-13	-14	14	-3	-14	-2	-3	0	-4	1
33	-14	3	9	1	5	3	-7	1	-1	8	0
-20	14	0	11	-11	-2	-1	9	3	3	5	1
34	-46	9	-7	-11	-13	-2	-5	-4	7	-3	0
4	-1	-12	-9	6	6	0	3	0	-1	0	1
-3	19	-12	1	16	8	-1	3	-4	4	6	1
-9	16	-18	-5	-3	1	3	0	4	0	-4	1
36	-19	17	8	-13	25	2	7	13	-1	2	0
-15	14	-12	-10	-16	-8	4	3	-8	0	-3	1
-10	44	23	-3	-14	-11	0	-12	14	-5	11	1
-31	2	-2	8	0	0	-1	-7	1	2	-1	1
-16	-8	-11	-17	4	6	1	-7	4	0	-6	1
-26	10	-14	-2	-4	-9	4	-8	-1	4	1	1
-11	18	-12	-8	-21	13	-8	10	-11	-8	-1	1
-41	-1	1	-8	0	10	0	-8	-5	1	-1	1
75	29	2	-8	-13	24	7	-1	14	-4	-12	0
